Area,m2 ,Max Units,Max SKU,Current un,Current SKU,m2 per unit
W,550,50000,8000,47600,7455,0.011
A,200,60650,2869,36166,2737,0.00329760923330585
B,250,46000,4025,20409,3667,0.00543478260869565
C,50,11000,79,1765,79,0.00454545454545455
D,350,23100,2759,19876,2432,0.0151515151515152
E,300,2900,587,2246,563,0.103448275862069
F,200,1500,480,1470,457,0.133333333333333
G,100,660,148,616,137,0.151515151515152
H,150,15300,1668,9327,1637,0.00980392156862745
I,300,36800,4373,24707,3769,0.00815217391304348
J,300,17000,663,5879,621,0.0176470588235294
K,20,19200,695,14420,640,0.00104166666666667
L,400,15150,2528,13588,2435,0.0264026402640264
M,400,56700,655,26052,615,0.00705467372134039
N,450,5200,569,3048,538,0.0865384615384615
