code,lenght (cm),width (cm),height (cm),volum (m3),weight (kg),inventory (units)
1,20,15,15,0.0045,1,0
2,21,18,18,0.006804,5.75,1
3,12,16,1,0.000192,0.01,12
4,14,7,4,0.000392,0.25,17
5,7,7,5,0.000245,0.01,5
6,7,7,5,0.000245,0.1,20
7,7,7,4,0.000196,0.01,26
8,15,7,3,0.000315,0.25,0
9,13,8,3,0.000312,0.25,0
10,15,7,3,0.000315,0.3,1
11,14,8,4,0.000448,0.1,1
12,7,7,3,0.000147,0.1,3
13,7,7,4,0.000196,0.1,43
14,16,11,1,0.000176,0.01,1
15,16,11,1,0.000176,0.1,7
16,16,12,10,0.00192,0.01,2
17,15,11,10,0.00165,0.01,35
18,14,4,1,0.000056,0.4,2
19,33,22,4,0.002904,0.1,19
20,21,23,4,0.001932,0.1,6
21,12,11,2,0.000264,0.1,16
22,53,22,5,0.00583,0.3,4
23,57,27,3,0.004617,0.45,5
24,51,20,3,0.00306,0.35,3
25,57,27,3,0.004617,0.6,8
26,51,20,3,0.00306,0.4,3
27,52,21,3,0.003276,0.5,6
28,51,20,1,0.00102,0.2,0
29,51,20,2,0.00204,0.35,3
30,54,21,3,0.003402,0.6,13
31,49,22,25,0.02695,11.85,1
32,21,9,5,0.000945,1.4,3
33,15,9,5,0.000675,1.2,1
34,21,10,5,0.00105,0.12,3
35,21,10,5,0.00105,1.25,4
36,21,10,5,0.00105,1.55,4
37,53,21,1,0.001113,0.35,4
38,56,19,1,0.001064,0.3,13
39,52,30,10,0.0156,0.5,4
40,61,33,1,0.002013,0.5,3
41,52,29,2,0.003016,0.3,1
42,53,20,4,0.00424,0.1,4
43,53,20,1,0.00106,0.3,1
44,54,20,1,0.00108,0.2,2
45,52,20,1,0.00104,0.2,2
46,53,20,91,0.09646,0.4,17
47,49,18,1,0.000882,0.3,13
48,50,18,1,0.0009,0.4,11
49,45,18,1,0.00081,0.45,2
50,51,20,1,0.00102,0.35,2
51,51,20,1,0.00102,0.35,3
52,51,20,1,0.00102,0.4,3
53,29,19,7,0.003857,0.3,27
54,27,13,7,0.002457,0.3,27
55,9,9,10,0.00081,0.15,28
56,39,9,6,0.002106,0.3,16
57,36,9,6,0.001944,0.3,1
58,16,11,1,0.000176,0.1,4
59,21,21,5,0.002205,0.1,5
60,6,3,3,0.000054,0.1,6
61,6,4,4,0.000096,0.1,2
62,6,4,4,0.000096,0.1,5
63,11,10,2,0.00022,0.005,1
64,46,12,6,0.003312,0.7,2
65,46,14,20,0.01288,0.9,0
66,51,20,1,0.00102,0.01,1
67,61,12,1,0.000732,0.1,3
68,50,13,1,0.00065,0.1,8
69,24,11,1,0.000264,0.1,8
70,19,14,5,0.00133,0.1,2
71,21,13,4,0.001092,0.1,5
72,6,3,3,0.000054,0.1,7
73,6,4,4,0.000096,0.1,9
74,47,24,12,0.013536,2.35,1
75,40,20,1,0.0008,0.1,13
76,10,8,2,0.00016,0.1,1
77,28,20,4,0.00224,0.1,1
78,27,22,5,0.00297,0.1,1
79,59,48,6,0.016992,0.35,0
80,52,56,7,0.020384,0.3,1
81,26,28,2,0.001456,0.15,2
82,63,53,5,0.016695,0.4,1
83,41,25,5,0.005125,0.2,1
84,34,20,4,0.00272,0.15,0
85,52,11,1,0.000572,0.1,0
86,40,19,3,0.00228,0.15,1
87,42,26,6,0.006552,0.15,0
88,51,21,5,0.005355,0.2,1
89,7,8,1,0.000056,0.1,5
90,1,6,1,0.000006,0.1,7
91,8,7,1,0.000056,0.1,0
92,19,12,1,0.000228,0.1,34
93,25,18,14,0.0063,1.2,1
94,51,20,1,0.00102,0.15,5
95,16,11,1,0.000176,0.01,5
96,12,10,1,0.00012,0.1,0
97,11,8,1,0.000088,0.1,0
98,7,7,1,0.000049,0.1,0
99,11,8,1,0.000088,0.1,0
100,39,21,1,0.000819,0.1,4
101,17,10,1,0.00017,0.1,0
102,51,14,1,0.000714,0.1,24
103,20,12,1,0.00024,0.1,34
104,19,12,1,0.000228,0.1,33
105,14,13,1,0.000182,0.1,11
106,15,12,1,0.00018,0.1,0
107,51,20,1,0.00102,0.1,2
108,36,16,1,0.000576,0.1,4
109,17,10,1,0.00017,0.1,0
110,51,20,1,0.00102,0.1,4
111,36,38,19,0.025992,1.45,0
112,31,12,3,0.001116,0.1,7
113,51,18,2,0.001836,0.15,7
114,29,16,2,0.000928,0.1,6
115,54,42,7,0.015876,0.7,3
116,15,11,2,0.00033,0.1,2
117,9,9,4,0.000324,0.25,1
118,8,8,4,0.000256,0.4,1
119,8,8,4,0.000256,0.4,3
120,8,8,4,0.000256,0.1,3
121,10,10,2,0.0002,0.1,3
122,15,15,2,0.00045,0.1,7
123,26,17,4,0.001768,0.01,8
124,21,14,10,0.00294,0.01,4
125,29,22,2,0.001276,0.45,0
126,17,18,11,0.003366,1.35,1
127,26,19,7,0.003458,0.75,0
128,17,18,11,0.003366,1.35,1
129,26,19,7,0.003458,1.65,0
130,17,18,10,0.00306,2.1,1
131,17,18,10,0.00306,2.25,0
132,23,10,9,0.00207,2.15,2
133,23,11,9,0.002277,3.05,1
134,24,11,9,0.002376,2.3,0
135,12,5,3,0.00018,0.15,2
136,6,6,3,0.000108,0.1,18
